Title ID,Rating,Last Modified Date,imdb_id_extracted,tmdb_id,release_date,release_year,production_countries,genres,runtime_minutes,directors,writers,composers,cinematographers,editors,cast_top_40,aspect_ratio,color_or_bw,data_source,enrichment_notes
tt1935156,8,2026-02-09T23:27:39.722Z,tt1935156,191720,2013-08-30,2013,France; United States of America,Documentary,87,Frank Pavich,,Kurt Stenzel,David Cavallo,Paul Docherty; Alex Ricciardi; Jesse Flower-Ambroch; Nic Hill; Angela Hardenburg; Dominika Michalowska,Alejandro Jodorowsky; Michel Seydoux; Chris Foss; H. R. Giger; Jean-Paul Gibon; Brontis Jodorowsky; Amanda Lear; Christian Wander; Devin Faraci; Diane O'Bannon; Drew McWeeny; Gary Kurtz; Jean-Pierre Vignau; Nicolas Winding Refn; Richard Stanley; Douglas Trumbull; Dan O'Bannon; Salvador Dalí; Orson Welles,,,tmdb,wiki_error
tt16227014,9,2026-02-09T23:27:29.964Z,tt16227014,913823,2022-07-06,2022,Canada; United States of America,Documentary,93,Sara Dosa,Sara Dosa; Shane Boris; Erin Casper; Jocelyne Chaput,Nicolas Godin,Pablo Alvarez Mesa; Jón Björgvinsson; Olivier Doat; Alain Gerente; Roland Haas,Erin Casper; Jocelyne Chaput,Alka Balbir; Guillaume Tremblay; Miranda July; Katia Krafft; Maurice Krafft,,,tmdb,wiki_error
tt12593682,7,2026-02-09T00:20:52.019Z,tt12593682,718930,2022-08-03,2022,United States of America,Action; Comedy; Thriller,126,David Leitch,,Dominic Lewis; Season Kent; Daniel Futcher,Jonathan Sela; Bridger Nielson; David J. Myrick,Elísabet Ronaldsdóttir; Mark P. Stoeckinger; Nick Ellsberg; Tom Reagan; Priyal Mahadik,Brad Pitt; Joey King; Aaron Taylor-Johnson; Brian Tyree Henry; Andrew Koji; Hiroyuki Sanada; Michael Shannon; Sandra Bullock; Bad Bunny; Logan Lerman; Zazie Beetz; Masi Oka; Karen Fukuhara; Kevin Akiyoshi Ching; Minchi Murakami; Kaori Taketani; Toshitaka Katsumi; Jim Garrity; Emelina Adams; Jenson Cheng; Nobuaki Shimamoto; Yoshi Sudarso; Johanna Watts; Ian Gabriel Martinez; Tania Verafield; Pancho Cardena; Julio Gabay; Andrea Muñoz; Nancy Daly; Arnold Chun; Naomi Matsuda; Benmio McCrea; Pasha D. Lychnikoff; Primus Johnson; Miles Marz; Michelle Lee; Parker Lin; Garland Scott; Jason Matthew Smith; Zooey Miyoshi,,,tmdb,wiki_error
tt0266915,7,2026-02-08T22:33:47.689Z,tt0266915,5175,2001-08-03,2001,United States of America; Hong Kong,Action; Comedy; Crime,90,Brett Ratner,,Darrell Hall; Kathy Nelson; Lalo Schifrin,Matthew F. Leonetti; Bing Sokolsky,Robert K. Lambert; Mark Helfrich; Laura Steiger; Monique 'Nico' Salvato; Cindy Jo Hinkleman; Rickley W. Dumm; Carmen Hocson Baker; Tim Chau; Douglas Parker; Kimberly Harris; Jim Brookshire; Nils C. Jensen; Darrell Hall,Jackie Chan; Chris Tucker; John Lone; Roselyn Sánchez; Zhang Ziyi; Alan King; Harris Yulin; Kenneth Tsang; Lisa LoCicero; Meiling Melançon; Maggie Q; Lucy Lin; Cindy Lu; Audrey Quock; Ernie Reyes Jr.; Jeremy Piven; Verena Mei; Joel McKinnon Miller; Angela Little; Julia Schultz; Saul Rubinek; Gianni Russo; Michael Chow; Teresa Lin; Tanya Newbould; Don Cheadle; Andy Cheng; Simon Rhee; Patricia Chan; Gelbert Coloma; William Duen Wai-Lun; James Duke; Mars; Bradley James Allan; James Lew; Roger Lim; Felicia Tang; Hau Woon-Ling,,,tmdb,wiki_error
tt0120812,7,2026-02-08T22:33:38.916Z,tt0120812,2109,1998-09-18,1998,United States of America,Action; Comedy; Crime,97,Brett Ratner,,Ira Hearshen; Lalo Schifrin; Happy Walters; Steve Mccroskey,Adam Greenberg; Mike Benson,Mark Helfrich; Donald J. Malouf; Doug Jackson; Michele Perrone; Tim Chau; Nils C. Jensen; Nancy MacLeod; Linda Folk; Albert Gasser; Carmen Hocson Baker; Jim Brookshire; John Kwiatkowski; Ann L. Thornberg; Philip J. Slattery; Michael Mahoney; Douglas Kunin; Laura Steiger; David Kern; Chris Jackson; Steve Mccroskey,Jackie Chan; Chris Tucker; Tom Wilkinson; Philip Baker Hall; Elizabeth Peña; Chris Penn; Mark Rolston; Tzi Ma; Rex Linn; Ken Leung; Robert Littman; Michael Chow; Julia Hsu; Kai Lennox; Larry Sullivan; Yang Lin; Roger Fan; George Cheung; Lucy Lin; Jason Davis; John Hawkes; Gene LeBell; Wayne A. King; Kevin L. Jackson; Manny Perry; Ronald D. Brown; Clifton Powell; Matthew Barry; Stanley DeSantis; Dan Martin; Kevin Lowe; Billy Devlin; Tommy Bush; Barry Shabaka Henley; Albert Wong; Ai Wan; Lydia Look; Chan Man-Ching; Sumiko Chan; Ken Lo Wai-Kwong,,,tmdb,wiki_error
tt0067741,7,2026-02-08T03:27:27.426Z,tt0067741,482,1971-06-23,1971,United States of America,Action; Crime; Thriller,100,Gordon Parks,,Isaac Hayes; J.J. Johnson,Urs Furrer,Hugh A. Robertson,Richard Roundtree; Moses Gunn; Charles Cioffi; Christopher St. John; Gwenn Mitchell; Lawrence Pressman; Victor Arnold; Sherri Brewer; Rex Robbins; Camille Yarbrough; Margaret Warncke; Joseph Leon; Arnold Johnson; Dominic Barto; George Strus; Edmund Hashim; Drew Bundini Brown; Tommy Lane; Al Kirk; Shimen Ruskin; Antonio Fargas; Gertrude Jeannette; Lee Steele; Damu King; Donny Burks; Tony King; Benjamin R. Rixson; Ricardo Brown; Alan Weeks; Glenn Johnson; Dennis Tate; Adam Wade; James Hainesworth; Clee Burtonya; Ed Bernard; Eddie Barth; Joe Pronto; Robin Nolan; Ron Tannas; Betty Bresler,,,tmdb,wiki_error
tt1064932,6,2026-02-07T01:43:14.996Z,tt1064932,8265,2008-02-20,2008,France,Comedy; Drama; Romance,106,Dany Boon,,Philippe Rombi,Pierre Aïm,Luc Barnier; Julie Delord; Franck Desmoulins; Roman Dymny,Kad Merad; Dany Boon; Zoé Félix; Lorenzo Ausilia-Foret; Anne Marivin; Philippe Duquesne; Guy Lecluyse; Line Renaud; Michel Galabru; Stéphane Freiss; Patrick Bosso; Jérôme Commandeur; Alexandre Carrière; Fred Personne; Franck Andrieux; Jean-Christophe Herbeth; Jean-François Picotin; Jenny Clève; Sylviane Goudal; Yaël Boon; Christophe Rossignon; Zinedine Soualem; Guillaume Morand; Nadège Beausson-Diagne; Jean-François Elberg; Eric Bleuzé; Bruno Tuchszer; Suzie Pilloux,,,tmdb,wiki_error
tt0076740,8,2026-02-06T03:55:19.656Z,tt0076740,38985,1977-06-24,1977,United States of America; Mexico,Thriller; Adventure; Drama,122,William Friedkin,,Robert K. Lambert; Edgar Froese; Christopher Franke,John M. Stephens; Dick Bush,Bud S. Smith; Robert K. Lambert; Larry Carow; Colin C. Mouat; Roger Sword; Allan Bromberg; Cynthia Scheider; Ned Humphreys; Charles L. Campbell; Jere Huggins,Roy Scheider; Bruno Cremer; Francisco Rabal; Amidou; Ramon Bieri; Peter Capell; Karl John; Friedrich von Ledebur; Chico Martínez; Joe Spinell; Rosario Almontes; Richard Holley; Anne-Marie Deschodt; Jean-Luc Bideau; Jacques François; André Falcon; Gerard Murphy; Desmond Crofton; Henry Diamond; Ray Dittrich; Frank Gio; Randy Jurgensen; Cosmo Allegretti; Nick Discenza; Zanoni Ferrite; Frank Pesce; Tom Signorelli,,,tmdb,wiki_error
tt0051372,7,2026-02-03T03:34:24.432Z,tt0051372,89688,1959-08-31,1959,France; Venezuela,Documentary,90,Margot Benacerraf ,Pierre Seghers; Margot Benacerraf ,Guy Bernard,Giuseppe Nisoli,Pierre Jallaud,José Ignacio Cabrujas; Laurent Terzieff,,,tmdb,wiki_error
tt0072890,7,2026-02-02T03:39:28.438Z,tt0072890,968,1975-09-21,1975,United States of America,Crime; Drama; Thriller,124,Sidney Lumet,,,Victor J. Kemper,Dede Allen; Jack Fitzstephens; Angelo Corrao; Richard P. Cirincione; Sanford Rackow; Stephen A. Rotter,Al Pacino; John Cazale; Charles Durning; Chris Sarandon; James Broderick; Penelope Allen; Sully Boyar; Beulah Garrick; Carol Kane; Sandra Kazan; Marcia Jean Kurtz; Amy Levitt; John Marriott; Estelle Omens; Gary Springer; Carmine Foresta; Lance Henriksen; Floyd Levine; Dick Anthony Williams; Dominic Chianese; Marcia Haufrecht; Judith Malina; Susan Peretz; William Bogert; Ron Cummins; Jay Gerber; Philip Charles MacKenzie; Chu Chu Malave; Lionel Pina; Robert Costanzo; Ron Gilbert; Kenneth McMillan; Ed Metzger; Lynette Sheldon; Alan Berger; James Bulleit; Todd Everett; Raymond Serra; Tom Towles,,,tmdb,wiki_error
